125,-1432,3950,-5734
126,-2132,4618,-4540
127,-3354,3634,-4118
129,-4116,2826,-2456
130,-4250,4366,-1288
132,-3756,3542,498
133,-3694,2230,1262
134,-2490,2256,2132
136,-1620,1782,4140
137,1184,82,3860
139,-1168,1426,4662
140,-3688,2372,4388
141,-5130,2164,4082
143,-4954,2772,3490
144,-4350,2384,1974
146,-5976,3460,1450
147,-4810,2710,174
148,-5664,4036,1148
150,-2626,2948,-422
151,-2600,5376,-1440
152,-1972,4032,-1588
154,472,3916,-2598
155,2906,4010,-3210
157,3506,4124,-3516
158,5174,4000,-4308
159,6018,3936,-4192
161,6002,4276,-4736
162,4354,4110,-4834
163,3838,4214,-5382
165,2628,4502,-5380
166,1356,4022,-5662
168,-258,4122,-4786
169,-2148,4684,-4268
170,-2754,4520,-3680
172,-3816,3066,-2718
173,-4092,3662,-2496
174,-4082,3326,-500
176,-4042,2904,1240
177,-3518,2612,1986
179,-2572,2648,3216
180,1320,1738,3460
181,1990,128,5026
183,-3918,2680,3872
184,-4654,1334,4712
185,-3944,3574,4134
187,-4134,2954,1576
188,-6062,2306,2182
189,-5150,2806,1690
191,-4832,3288,304
192,-4806,2266,-1796
194,-3458,4210,-2298
195,-3946,7712,-2718
196,898,1876,-3664
198,1000,3990,-2794
199,2040,3888,-2788
201,4978,4704,-3804
202,5428,4572,-4356
203,6124,3938,-3978
205,5162,4512,-3852
206,4522,3838,-5284
208,3556,4666,-5164
209,2658,4850,-5398
210,-92,3514,-5626
212,-1256,3906,-5096
213,-2934,4886,-3586
214,-4138,4424,-3660
216,-3782,3184,-3474
217,-3528,3730,-670
219,-4836,3400,328
220,-4772,2918,1504
221,-1320,1838,1880
223,-1662,2396,2940
224,-484,202,4220
225,-350,1040,5018
227,-3036,3072,3792
228,-4144,1540,2338
230,-3978,3212,3782
231,-4066,2362,1510
232,-6714,2118,1398
234,-7752,3334,734
235,-3634,2764,-956
236,-2976,2704,-2910
238,-4490,3610,-1052
239,-3304,5814,-722
241,-908,5926,-4080
242,3184,3028,-3436
243,2736,5266,-2466
245,3852,3488,-3186
246,6090,3830,-4262
248,5668,5228,-3898
249,6412,3106,-4246
250,4728,4556,-4374
252,4020,4176,-4092
253,1942,3528,-4218
254,-130,4162,-5104
256,-1374,3900,-5128